amount,date,type,gas_cost,time_of_transaction
3694.01,2022-11-18,bonus,5.58,4.59
1002.3,2022-08-15,regular,6.62,2.45
2055.86,2022-07-07,bonus,5.76,4.25
1275.7,2022-06-12,overtime,1.94,3.42
1233.01,2022-06-27,regular,6.53,2.62
3260.67,2022-03-27,regular,4.58,1.56
203.96,2022-08-23,bonus,4.79,2.92
2620.49,2022-06-17,bonus,7.07,4.06
4820.86,2022-06-21,regular,3.31,1.85
942.97,2022-02-10,bonus,2.36,1.13
4177.01,2022-10-13,overtime,3.77,1.81
1000,2025-02-16,regular,2.1946325871881065,3.809082102743155
