amount,date,type,gas_cost,time_of_transaction
1932.4,2022-07-29,bonus,6.18,3.44
1863.87,2022-11-30,bonus,5.92,2.04
1477.51,2022-09-05,overtime,3.67,3.61
2907.64,2022-08-19,regular,6.65,4.75
4678.49,2022-12-15,regular,4.16,3.09
4178.97,2022-11-02,overtime,2.53,2.79
3193.11,2022-12-03,overtime,2.16,1.65
3652.54,2022-07-13,bonus,5.38,4.93
3034.23,2022-05-19,overtime,4.48,2.64
4281.58,2022-09-27,bonus,5.16,2.61
3546.32,2022-07-22,regular,5.83,4.61
1213.3,2022-12-22,bonus,3.09,1.3
1705.13,2022-11-21,regular,6.1,3.89
3493.21,2022-08-15,bonus,2.41,2.28
1319.09,2022-08-26,regular,4.96,2.05
1467.78,2022-12-02,overtime,5.61,3.6
2848.38,2022-08-16,bonus,3.92,1.23
1871.35,2022-09-21,overtime,2.08,2.74
4107.4,2022-07-04,overtime,3.25,2.06
