amount,date,type,gas_cost,time_of_transaction
414.48,2022-03-14,bonus,6.43,3.01
4426.89,2022-03-24,regular,4.74,4.91
1980.97,2022-02-05,overtime,2.45,2.98
2519.05,2022-04-30,overtime,6.99,3.91
1006.03,2022-05-12,bonus,2.56,3.88
1938.55,2022-12-15,regular,2.94,1.39
2246.05,2022-04-07,bonus,6.92,1.75
4906.52,2022-09-12,regular,6.8,3.65
3148.86,2022-10-27,bonus,7.2,3.15
990.02,2022-03-06,bonus,5.47,4.1
3166.59,2022-02-27,regular,6.97,4.86
1526.44,2022-01-26,regular,5.69,1.25
1126.94,2022-12-19,bonus,6.63,2.95
4350.23,2022-02-10,regular,3.87,3.32
1627.96,2022-05-26,overtime,1.84,2.34
1095.55,2022-12-02,overtime,4.6,4.65
3127.31,2022-08-26,bonus,6.41,4.73
471.38,2022-06-01,regular,6.79,2.63
3226.28,2022-02-18,regular,6.64,1.58
4666.1,2022-09-19,regular,2.63,4.58
1591.12,2022-02-07,regular,5.55,2.74
3126.07,2022-01-19,bonus,6.14,1.6
4874.04,2022-07-08,regular,3.37,3.61
4288.0,2022-11-20,bonus,3.64,3.8
3359.08,2022-03-05,overtime,3.94,3.22
2816.2,2022-03-04,bonus,6.47,4.15
4548.23,2022-09-17,regular,7.18,1.76
2344.94,2022-02-15,overtime,4.43,1.77
507.11,2022-05-26,bonus,2.72,3.27
2138.38,2022-06-10,bonus,3.84,3.08
1144.96,2022-06-09,bonus,4.06,4.5
3322.35,2022-12-03,regular,3.65,2.48
1975.13,2022-06-24,overtime,3.87,2.91
1230.24,2022-02-14,bonus,2.93,1.54
3258.48,2022-02-10,regular,5.3,1.71
2350.99,2022-03-21,regular,4.07,3.23
151.02,2022-11-30,bonus,4.67,1.21
1297.88,2022-05-10,overtime,6.84,1.19
4317.93,2022-02-14,bonus,4.02,4.31
4778.54,2022-11-05,regular,2.49,1.03
1221.91,2022-07-11,overtime,6.78,4.81
3736.6,2022-12-31,overtime,6.9,3.69
2956.95,2022-07-11,regular,7.02,3.74
753.39,2022-05-14,bonus,5.02,3.79
3623.15,2022-09-02,bonus,2.16,2.55
851.78,2022-01-11,bonus,3.01,3.21
4516.65,2022-11-03,regular,5.31,4.62
1228.05,2022-10-18,regular,1.94,1.58
3114.17,2022-10-12,regular,2.99,4.15
3212.68,2022-10-28,overtime,4.24,1.58
3293.44,2022-04-29,bonus,5.09,3.65
4335.88,2022-05-24,overtime,4.65,4.26
3481.99,2022-08-14,bonus,2.05,4.8
2357.27,2022-06-17,overtime,1.98,4.66
3399.25,2022-06-01,overtime,5.02,1.69
653.16,2022-06-05,overtime,5.21,2.56
4571.46,2022-04-10,bonus,5.08,1.01
1226.92,2022-02-01,regular,5.1,3.43
2193.9,2022-06-08,regular,4.2,1.28
473.75,2022-12-28,regular,6.59,2.89
3469.44,2022-12-16,bonus,2.73,1.51
1395.29,2022-06-04,bonus,5.27,2.61
720.58,2022-09-20,bonus,5.77,2.78
1174.29,2022-11-22,regular,1.86,3.66
