amount,date,type,gas_cost,time_of_transaction
693.42,2022-03-05,overtime,3.88,2.27
2024.28,2022-03-08,overtime,3.82,1.14
3502.33,2022-12-31,bonus,6.0,4.73
4261.03,2022-10-02,bonus,2.83,3.89
2898.81,2022-04-12,bonus,6.65,1.23
4988.67,2022-08-28,bonus,6.53,3.26
146.6,2022-11-03,overtime,2.66,1.1
3602.47,2022-01-21,regular,2.57,1.66
4337.08,2022-10-30,regular,4.28,1.27
3151.49,2022-01-29,overtime,5.23,2.86
1355.3,2022-04-18,overtime,6.53,3.31
1111.11,2022-03-31,bonus,2.11,2.97
402.53,2022-02-19,regular,1.92,1.84
1566.94,2022-10-03,regular,4.3,1.93
2870.32,2022-09-19,bonus,6.56,3.55
601.39,2022-04-14,regular,6.02,4.44
3496.72,2022-07-18,regular,5.24,4.52
1972.7,2022-11-05,bonus,3.38,3.74
4194.62,2022-02-23,overtime,6.14,4.97
432.22,2022-11-16,overtime,6.18,1.17
3752.34,2022-09-24,overtime,3.6,3.48
3850.4,2022-12-23,bonus,4.18,3.37
4068.13,2022-08-10,bonus,2.93,2.48
2000.8,2022-04-27,regular,2.23,3.01
2155.61,2022-05-12,bonus,6.2,1.81
1473.46,2022-03-30,regular,5.67,2.45
3084.3,2022-12-12,regular,6.23,2.56
1249.48,2022-03-13,overtime,5.11,3.59
313.12,2022-07-19,bonus,4.26,2.72
3596.29,2022-05-04,bonus,3.73,4.71
3770.38,2022-07-15,bonus,5.71,3.4
3671.13,2022-03-20,regular,3.28,3.97
2250.07,2022-05-13,regular,4.89,4.63
361.1,2022-06-10,regular,2.47,4.02
3860.08,2022-08-12,bonus,6.48,1.41
2453.66,2022-06-16,overtime,5.08,3.03
2831.27,2022-01-30,regular,3.46,1.41
4020.68,2022-05-27,bonus,6.18,3.97
3041.03,2022-06-14,regular,6.8,1.86
2675.28,2022-11-10,bonus,5.3,2.27
