amount,date,type,gas_cost,time_of_transaction
4072.63,2022-06-27,overtime,5.21,1.06
2617.73,2022-02-28,bonus,5.23,4.99
3336.83,2022-05-31,overtime,2.19,3.22
317.63,2022-09-01,bonus,4.01,1.36
871.74,2022-12-15,overtime,3.48,4.77
3090.08,2022-08-30,regular,2.35,2.22
1362.86,2022-04-01,overtime,4.3,2.75
2211.23,2022-09-04,overtime,3.41,4.85
547.62,2022-03-25,bonus,3.84,4.64
3037.44,2022-08-11,bonus,5.37,4.52
4318.96,2022-05-15,bonus,5.15,3.65
2027.45,2022-08-17,bonus,6.14,2.64
2592.75,2022-08-18,regular,4.57,1.72
132.34,2022-06-11,regular,2.22,4.28
2490.41,2022-09-25,regular,3.4,1.32
1893.79,2022-04-12,overtime,3.69,4.63
3548.93,2022-07-10,overtime,7.0,2.8
2563.66,2022-11-22,bonus,6.53,3.5
644.96,2022-09-28,overtime,5.27,3.82
1334.18,2022-09-16,overtime,4.69,1.33
4852.57,2022-12-08,bonus,5.56,1.16
4888.02,2022-07-01,regular,4.98,2.83
3920.55,2022-02-09,bonus,5.94,2.03
1232.38,2022-06-11,bonus,3.87,1.39
1266.26,2022-04-27,bonus,4.5,1.93
613.12,2022-07-21,regular,3.37,2.67
4469.81,2022-04-19,bonus,4.48,2.38
3914.19,2022-12-13,bonus,3.29,4.42
3531.77,2022-07-13,regular,5.59,3.6
4618.47,2022-06-08,bonus,7.03,1.55
3042.57,2022-06-16,overtime,2.15,1.12
135.55,2022-10-11,regular,6.99,1.1
4539.73,2022-12-31,overtime,6.11,1.84
3967.15,2022-05-22,regular,4.16,2.05
3352.47,2022-07-09,regular,5.19,4.7
3206.3,2022-06-07,regular,4.62,3.87
693.69,2022-04-12,overtime,2.45,4.04
4607.36,2022-01-21,bonus,2.81,1.13
1218.55,2022-12-05,overtime,5.59,4.55
2445.25,2022-07-16,regular,5.1,1.18
1001.9,2022-10-18,regular,7.07,2.77
2846.48,2022-07-05,overtime,2.1,4.02
4336.91,2022-03-10,bonus,2.05,2.91
4831.96,2022-05-05,bonus,4.69,1.63
3462.54,2022-12-30,overtime,5.07,2.88
2297.11,2022-09-01,overtime,3.9,3.34
3092.66,2022-05-31,overtime,6.86,4.76
1138.69,2022-09-24,overtime,4.46,2.88
1811.65,2022-10-21,overtime,7.16,4.06
2842.63,2022-06-19,bonus,7.08,1.92
1064.25,2022-09-30,regular,5.88,3.99
1742.04,2022-02-28,overtime,2.08,4.4
4025.84,2022-07-12,regular,6.21,4.0
4086.53,2022-05-02,overtime,4.81,1.4
3965.4,2022-04-16,regular,2.77,4.17
4332.38,2022-09-09,bonus,6.45,4.87
3041.43,2022-01-21,bonus,3.92,4.27
179.9,2022-12-24,regular,1.84,4.14
1301.77,2022-06-27,regular,3.55,3.51
4526.1,2022-08-23,overtime,6.63,1.3
3441.11,2022-11-03,overtime,4.07,1.79
3821.73,2022-12-02,bonus,4.67,3.2
3770.27,2022-07-20,overtime,5.59,3.85
4354.07,2022-11-03,regular,3.87,2.79
409.5,2022-03-12,overtime,5.53,2.92
4483.39,2022-03-18,overtime,3.97,4.31
825.73,2022-01-24,regular,4.81,4.28
2585.07,2022-07-06,bonus,6.97,2.11
588.02,2022-05-21,bonus,3.53,2.77
2588.66,2022-07-02,regular,5.35,4.31
1673.35,2022-05-26,bonus,5.28,4.23
1281.18,2022-10-25,bonus,2.09,3.02
4376.74,2022-01-04,regular,5.54,4.03
4190.2,2022-07-11,regular,7.1,2.97
3934.86,2022-03-23,regular,2.18,4.51
599.5,2022-12-09,regular,3.81,1.55
3363.38,2022-09-09,overtime,5.51,3.4
4994.97,2022-11-04,regular,6.26,4.46
2364.53,2022-03-19,regular,4.21,2.69
2304.97,2022-08-03,bonus,6.95,4.61
4490.53,2022-11-20,regular,2.84,4.23
1066.96,2022-10-23,overtime,5.07,4.35
1338.85,2022-03-23,bonus,2.76,3.62
2488.15,2022-05-27,overtime,2.17,2.59
3179.22,2022-11-06,bonus,6.59,2.59
3895.27,2022-10-08,bonus,2.28,4.87
3896.59,2022-09-08,overtime,2.18,3.92
235.71,2022-04-06,overtime,3.6,3.82
251.86,2022-04-12,bonus,5.31,3.9
2586.43,2022-01-12,regular,3.41,2.55
689.94,2022-10-10,bonus,5.86,3.6
4253.87,2022-04-13,overtime,2.22,2.98
1200,2025-02-14,bonus,2.3704178193616854,1.0981426612233527
