amount,date,type,gas_cost,time_of_transaction
4081.03,2022-08-18,regular,6.55,1.46
1716.28,2022-04-12,regular,2.59,3.54
2912.65,2022-10-25,overtime,3.69,3.92
2570.63,2022-12-04,overtime,1.81,1.86
4960.09,2022-11-15,bonus,2.05,1.73
4242.94,2022-03-06,overtime,1.82,3.0
1288.54,2022-09-12,regular,3.14,4.7
4131.15,2022-01-11,regular,3.64,4.93
4739.91,2022-07-28,overtime,2.61,3.78
3555.37,2022-04-06,bonus,6.67,1.24
690.96,2022-05-20,overtime,5.73,2.77
2000,2020-01-12,regular,3.2980761775165943,4.307075757339802
13000,2024-12-01,regular,5.41797313155636,1.706106218870282
