amount,date,type,gas_cost,time_of_transaction
206.21,2022-09-27,overtime,2.8,4.4
2542.5,2022-08-07,regular,6.23,4.01
3397.27,2022-04-14,overtime,6.89,2.9
1866.55,2022-06-28,bonus,4.6,2.89
875.0,2022-10-24,overtime,2.47,3.05
2377.45,2022-11-11,regular,2.8,1.37
1622.27,2022-04-17,overtime,4.06,3.24
345.76,2022-01-23,regular,3.59,2.33
556.62,2022-05-27,bonus,3.77,4.26
1676.61,2022-02-05,regular,2.39,4.27
4635.83,2022-06-17,regular,2.22,2.12
4627.94,2022-07-29,overtime,6.56,4.67
601.55,2022-08-24,bonus,6.77,2.19
2206.02,2022-06-10,regular,6.93,2.93
4970.64,2022-09-02,regular,5.39,1.77
1720.59,2022-08-14,overtime,1.91,4.38
4019.59,2022-02-13,overtime,2.0,1.14
3142.05,2022-10-23,overtime,7.05,3.14
1966.84,2022-11-26,regular,3.23,1.82
2585.07,2022-04-22,bonus,3.86,2.17
4701.68,2022-05-31,overtime,3.95,2.32
2925.78,2022-10-23,bonus,6.14,3.31
3203.16,2022-09-27,regular,3.33,3.57
4067.09,2022-02-10,bonus,3.16,3.38
3951.58,2022-09-28,regular,6.95,1.83
2554.6,2022-11-02,overtime,4.39,2.54
4893.36,2022-03-02,overtime,2.75,3.72
1875.99,2022-11-29,bonus,2.84,2.06
177.57,2022-11-16,overtime,6.4,4.48
2518.68,2022-02-23,overtime,6.81,2.01
949.36,2022-01-27,bonus,2.9,2.35
2806.84,2022-11-04,regular,3.86,4.21
4632.4,2022-01-14,overtime,1.99,4.19
509.89,2022-02-15,bonus,5.77,3.43
1313.88,2022-07-21,bonus,5.09,2.72
3511.93,2022-06-02,bonus,5.64,2.0
4962.31,2022-07-05,bonus,5.43,3.06
1987.74,2022-07-21,overtime,3.05,2.07
4630.79,2022-02-13,regular,6.45,2.48
2555.34,2022-03-16,regular,4.23,3.33
2026.88,2022-05-18,regular,3.07,1.2
4592.59,2022-05-29,overtime,5.04,1.4
1367.29,2022-09-06,overtime,4.41,4.32
3154.21,2022-02-08,regular,5.52,2.64
3157.4,2022-07-06,bonus,4.98,2.62
1995.05,2022-12-18,regular,3.86,3.92
864.73,2022-04-01,regular,5.57,1.75
4814.61,2022-09-19,bonus,3.58,2.76
1741.77,2022-06-20,regular,4.41,2.46
1278.45,2022-04-28,bonus,2.04,3.34
764.36,2022-04-10,regular,5.96,4.8
2914.57,2022-12-05,overtime,3.04,3.59
4395.39,2022-04-04,regular,1.97,3.46
4571.09,2022-10-27,overtime,6.37,1.62
614.6,2022-05-27,bonus,3.79,2.82
1542.54,2022-03-26,overtime,4.37,1.14
1890.74,2022-09-20,regular,6.43,4.67
2718.55,2022-08-28,overtime,2.62,1.65
3962.1,2023-01-01,bonus,5.34,3.74
323.26,2022-02-02,overtime,4.08,2.73
4723.71,2022-12-22,bonus,4.32,3.06
506.16,2022-11-11,overtime,2.75,1.28
2675.56,2022-09-30,regular,5.94,2.56
3293.69,2022-04-15,overtime,5.26,1.61
2026.61,2022-09-27,regular,5.57,4.17
291.53,2022-11-06,regular,4.22,1.23
990.31,2022-11-08,overtime,5.0,2.37
626.42,2022-08-18,bonus,6.35,1.68
3086.88,2022-08-02,overtime,5.13,1.48
