amount,date,type,gas_cost,time_of_transaction
655.76,2022-06-23,regular,3.12,2.92
4791.64,2022-12-27,bonus,6.15,4.58
4121.12,2022-12-31,regular,6.22,4.36
1866.78,2022-08-03,regular,4.01,2.87
1542.45,2022-04-25,overtime,5.67,1.61
340.92,2022-11-04,overtime,5.91,4.59
4283.33,2022-07-27,bonus,5.52,2.7
3668.84,2022-09-16,overtime,5.11,3.14
1674.68,2022-08-04,overtime,6.24,4.95
3162.79,2022-12-14,regular,6.47,2.55
4612.64,2022-12-15,overtime,6.35,1.71
159.81,2022-04-28,regular,4.41,3.68
4505.06,2022-09-11,regular,2.87,2.68
3001.58,2022-09-07,regular,4.93,4.89
623.38,2022-10-25,overtime,5.06,1.18
4504.11,2022-05-21,regular,7.11,1.61
116.0,2022-06-09,overtime,6.42,3.3
2417.89,2022-07-16,regular,2.14,1.31
4812.53,2022-04-23,overtime,5.61,3.44
3469.4,2022-08-11,bonus,5.01,3.7
1431.7,2022-12-25,bonus,1.89,1.02
1261.46,2022-01-06,bonus,6.17,3.66
3553.84,2022-07-25,regular,4.98,1.29
635.06,2022-11-20,overtime,2.1,4.0
4367.3,2022-08-28,bonus,6.95,4.55
4168.9,2022-03-19,bonus,4.48,4.26
1368.78,2022-10-24,bonus,2.72,1.08
2533.55,2022-08-31,overtime,5.21,4.52
1958.18,2022-11-11,bonus,2.74,2.24
185.84,2022-01-15,bonus,2.13,4.85
542.43,2022-01-08,overtime,3.85,1.42
332.85,2022-07-28,regular,6.6,4.39
